,Train,Test
a loanAmount-GTE-25 b => a approval-True b,0.26285636338835083,0.14537709245815084
a rate-GTE-25 b & a rate-LTE-75 b => a approval-True b,0.49468012549447554,0.10883782324353512
a rate-LTE-75 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.63504296821716,0.32123357532849345
a income-GTE-25 b => a approval-False b,0.3023998153988155,0.43856122877542447
a monthDuration-GTE-75 b => a approval-False b,0.7788247057918621,0.6883962320753585
a creditScore-GTE-25 b => a approval-False b,0.24867317898623184,0.35927281454370913
a loanAmount-LTE-75 b => a approval-False b,0.3185908776247981,0.4717105657886842
a income-GTE-50 b & a monthDuration-GTE-75 b => a approval-False b,0.4339666179524652,0.39527209455810886
a income-GTE-75 b & a income/yearlyReimbursement-GTE-75 b => a approval-False b,0.7793823552034459,0.7010859782804344
a rate-GTE-75 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.46679101607568646,0.4187016259674807
a income/yearlyReimbursement-GTE-75 b & a income/yearlyReimbursement-LTE-50 b => a approval-False b,0.31955234212752864,0.24755504889902202
a income-GTE-50 b & a loanAmount-GTE-75 b => a approval-False b,0.40898777017152527,0.31466370672586547
a income/yearlyReimbursement-GTE-75 b & a loanAmount-LTE-50 b => a approval-False b,0.6181639873855858,0.7045359092818143
a income-GTE-75 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.2890465148001637,0.619517609647807
a creditScore-LTE-50 b & a income-LTE-75 b => a approval-True b,0.29163824853362436,0.14372712545749086
a monthDuration-GTE-50 b & a rate-GTE-25 b => a approval-True b,0.5018414950211431,0.2138357232855343
a income/yearlyReimbursement-GTE-75 b => a approval-False b,0.9600223059764633,0.9684406311873762
a income-GTE-75 b & a loanAmount-LTE-50 b => a approval-False b,0.47846319513883545,0.46943061138777226
a creditScore-GTE-50 b & a loanAmount-LTE-25 b => a approval-False b,0.44129297746327206,0.4283614327713446
a income-GTE-50 b & a loanAmount-LTE-50 b => a approval-False b,0.319879240058457,0.4120717585648287
a income-GTE-50 b & a monthDuration-LTE-75 b => a approval-True b,0.48015277588323557,0.20663586728265435
a income-GTE-50 b => a approval-False b,0.5678601646027228,0.6021479570408592
a loanAmount-GTE-50 b => a approval-False b,0.36114529651565264,0.27791444171116575
a loanAmount-LTE-50 b => a approval-True b,1.0,0.7220555588888222
a loanAmount-LTE-25 b & a monthDuration-GTE-25 b => a approval-True b,0.6469103805756377,0.32942341153176935
a creditScore-GTE-75 b & a income/yearlyReimbursement-GTE-75 b => a approval-False b,0.7187716329513114,0.620567588648227
a monthDuration-GTE-75 b & a yearlyReimbursement-LTE-25 b => a approval-False b,0.7239250826859472,0.636707265854683
a income/yearlyReimbursement-GTE-50 b & a yearlyReimbursement-LTE-25 b => a approval-False b,0.6018767787093301,0.6537169256614868
a income-LTE-75 b & a monthDuration-LTE-75 b => a approval-True b,0.36434320010912563,0.11132777344453111
a monthDuration-LTE-50 b => a approval-True b,0.321579593507025,0.4241315173696526
a income-GTE-75 b & a income-LTE-25 b => a approval-False b,0.49373125144219676,0.38933221335573287
a income-GTE-75 b => a approval-True b,0.4194516437048152,0.7144057118857623
a income-GTE-50 b & a monthDuration-GTE-50 b => a approval-True b,0.5018414950211431,0.3374932501349973
a monthDuration-GTE-50 b & a rate-LTE-25 b => a approval-False b,0.4120067687100992,0.3604727905441891
a yearlyReimbursement-GTE-75 b => a approval-False b,0.6808130143835089,0.5292194156116877
a monthDuration-GTE-50 b & a rate-LTE-50 b => a approval-True b,0.3524757877506479,0.29099418011639766
a creditScore-GTE-75 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.47813629720790707,0.43571128577428453
a income-GTE-50 b & a loanAmount-LTE-25 b => a approval-True b,0.4879961806029191,0.4777704445911082
a creditScore-LTE-25 b & a rate-GTE-75 b => a approval-False b,0.5596300284593493,0.4497810043799124
a income-LTE-75 b & a monthDuration-GTE-25 b => a approval-True b,0.5278952393943528,0.17108657826843462
a income-LTE-50 b => a approval-False b,0.43213983539727713,0.39785204295914084
a creditScore-LTE-25 b & a loanAmount-LTE-25 b => a approval-False b,0.6655257287900931,0.5604487910241795
a creditScore-GTE-75 b & a income/yearlyReimbursement-LTE-25 b => a approval-False b,0.5058649334666564,0.39602207955840885
a creditScore-LTE-50 b & a income-GTE-75 b => a approval-False b,0.3980078455503423,0.35360292794144116
a yearlyReimbursement-LTE-75 b => a approval-True b,1.0,0.4707805843883122
a monthDuration-GTE-75 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.5621490654565033,0.5228595428091438
a loanAmount-LTE-50 b & a rate-LTE-50 b => a approval-False b,0.3182639796938697,0.3634127317453651
a monthDuration-GTE-50 b & a rate-GTE-75 b => a approval-False b,0.41067994769633104,0.3514729705405892
a income-GTE-50 b & a rate-GTE-75 b => a approval-False b,0.42617875548034767,0.36887262254754905
a monthDuration-GTE-50 b => a approval-False b,0.5476117221752173,0.5743085138297234
a income/yearlyReimbursement-GTE-75 b & a income/yearlyReimbursement-LTE-25 b => a approval-False b,0.6366625644181216,0.49556008879822405
a income/yearlyReimbursement-GTE-50 b => a approval-True b,1.0,0.7188756224875502
a income-GTE-75 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.4782132143681255,0.4703305933881322
a creditScore-GTE-75 b & a rate-LTE-25 b => a approval-False b,0.5631105299592339,0.45908081838363235
a creditScore-GTE-75 b & a rate-LTE-50 b => a approval-False b,0.3752019075455734,0.3266034679306414
a monthDuration-GTE-50 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.57393261492293,0.5296994060118798
a income-LTE-25 b => a approval-False b,0.6976001846011846,0.5614387712245755
a income-GTE-50 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.3194177370971464,0.4125217495650087
a income-GTE-50 b & a rate-LTE-50 b => a approval-False b,0.2841896777170987,0.30356392872142557
a loanAmount-GTE-75 b & a loanAmount-LTE-50 b => a approval-False b,0.32024459656949467,0.250344993100138
a creditScore-LTE-25 b => a approval-False b,0.7492500576878701,0.6397372052558948
a creditScore-GTE-50 b & a creditScore-LTE-25 b => a approval-False b,0.24744250442273671,0.19529609407811843
a income-GTE-50 b & a yearlyReimbursement-LTE-25 b => a approval-False b,0.48078993923544344,0.498410031799364
a income-GTE-50 b & a rate-LTE-75 b => a approval-True b,0.5619969990451508,0.23327533449331014
a rate-GTE-50 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.3014383508960849,0.3426531469370613
a income/yearlyReimbursement-GTE-75 b => a approval-True b,1.0,0.9684406311873762
a income-GTE-75 b & a rate-LTE-50 b => a approval-False b,0.40004615029613105,0.3611927761444771
a income/yearlyReimbursement-GTE-50 b & a loanAmount-LTE-25 b => a approval-False b,0.5804553495884932,0.6170576588468231
a monthDuration-LTE-75 b => a approval-False b,0.21856011076071072,0.3107637847243055
a income/yearlyReimbursement-LTE-25 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.3731251442196754,0.29189416211675767
a loanAmount-GTE-75 b & a loanAmount-LTE-25 b => a approval-False b,0.5681870625336513,0.4404211915761685
a monthDuration-GTE-25 b & a rate-LTE-75 b => a approval-True b,0.6915154821988815,0.21233575328493431
a monthDuration-LTE-25 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.37643258210906855,0.3151436971260575
a income-GTE-75 b & a yearlyReimbursement-GTE-75 b => a approval-False b,0.5574763479732329,0.4339713205735885
a income-LTE-25 b & a income/yearlyReimbursement-LTE-25 b => a approval-False b,0.5824551957541727,0.45314093718125636
a creditScore-GTE-75 b & a income-LTE-25 b => a approval-False b,0.5207099453888162,0.41534169316613667
a income-LTE-50 b => a approval-True b,0.2603328331741918,0.39785204295914084
a income/yearlyReimbursement-LTE-25 b & a yearlyReimbursement-LTE-25 b => a approval-False b,0.6025498038612415,0.4697006059878802
a monthDuration-LTE-25 b & a yearlyReimbursement-LTE-25 b => a approval-False b,0.6267594800399969,0.504889902201956
a monthDuration-GTE-75 b & a rate-GTE-75 b => a approval-False b,0.5830320744558111,0.4722805543889122
a income-GTE-25 b & a monthDuration-GTE-25 b => a approval-True b,0.8485881871504569,0.24464510709785806
a creditScore-LTE-75 b & a income-GTE-25 b => a approval-True b,0.7019506206520256,0.20930581388372232
a monthDuration-GTE-50 b => a approval-True b,0.6816259719001501,0.5743085138297234
a monthDuration-GTE-75 b & a monthDuration-LTE-25 b => a approval-False b,0.4843281286054919,0.375412491750165
a income-GTE-25 b => a approval-True b,0.9352748601827854,0.43856122877542447
a loanAmount-LTE-50 b & a monthDuration-GTE-75 b => a approval-False b,0.47686716406430274,0.4568908621827563
a loanAmount-LTE-25 b & a rate-GTE-75 b => a approval-False b,0.663256672563649,0.5578988420231595
a monthDuration-LTE-50 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.1971771402199831,0.2271554568908622
a income-GTE-50 b & a rate-LTE-50 b => a approval-True b,0.38221252216614376,0.30356392872142557
a income/yearlyReimbursement-GTE-75 b & a monthDuration-LTE-25 b => a approval-False b,0.6699100069225444,0.5400791984160317
a monthDuration-LTE-25 b & a rate-LTE-50 b => a approval-False b,0.3551649873086686,0.2873342533149337
a rate-LTE-25 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.49323128990077686,0.4472310553788924
a creditScore-GTE-75 b & a creditScore-LTE-50 b => a approval-False b,0.24873086685639567,0.19484610307793845
a income/yearlyReimbursement-GTE-50 b & a rate-GTE-50 b => a approval-False b,0.30816860241519883,0.3498830023399532
a creditScore-GTE-50 b & a loanAmount-LTE-25 b => a approval-True b,0.3697994816532533,0.4283614327713446
a creditScore-LTE-50 b & a rate-LTE-50 b => a approval-True b,0.25719547128631837,0.25313493730125397
a income-GTE-25 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.7648342654480971,0.35435291294174115
a monthDuration-GTE-25 b & a rate-LTE-50 b => a approval-True b,0.46924021279498024,0.21893562128757424
a creditScore-GTE-75 b & a creditScore-LTE-25 b => a approval-False b,0.4977694023536651,0.39098218035639287
a creditScore-GTE-25 b & a monthDuration-GTE-50 b => a approval-True b,0.5119356158777792,0.21728565428691426
a income-LTE-75 b & a loanAmount-LTE-25 b => a approval-True b,0.48369935888691856,0.25655486890262197
a creditScore-LTE-50 b => a approval-False b,0.5002115221906007,0.49733005339893205
a income/yearlyReimbursement-GTE-25 b => a approval-True b,1.0,0.46865062698746024
a income-LTE-25 b & a loanAmount-LTE-50 b => a approval-False b,0.4790593031305284,0.39209215815683685
a monthDuration-GTE-25 b & a monthDuration-LTE-75 b => a approval-True b,0.5526531169008321,0.11990760184796304
a rate-LTE-50 b => a approval-False b,0.5034035843396661,0.507439851202976
a income/yearlyReimbursement-LTE-25 b & a monthDuration-GTE-50 b => a approval-False b,0.30788016306437965,0.23600527989440212
a monthDuration-GTE-75 b => a approval-True b,0.3575910516982676,0.6883962320753585
a creditScore-LTE-25 b & a loanAmount-LTE-50 b => a approval-False b,0.47929005461118374,0.43160136797264054
a creditScore-LTE-75 b & a monthDuration-GTE-50 b => a approval-True b,0.5115945982812713,0.2144057118857623
a income-GTE-50 b & a monthDuration-LTE-25 b => a approval-False b,0.41589108530113067,0.3367132657346853
a creditScore-GTE-25 b & a creditScore-LTE-75 b => a approval-True b,0.4998635929613968,0.10757784844303114
a income-LTE-25 b & a loanAmount-LTE-25 b => a approval-False b,0.6462002922852088,0.5204595908081838
a income/yearlyReimbursement-GTE-75 b & a yearlyReimbursement-GTE-50 b => a approval-False b,0.32112914391200675,0.24644507109857802
a rate-GTE-25 b & a rate-LTE-50 b => a approval-True b,0.25126176510707954,0.05456890862182756
a creditScore-GTE-50 b & a income-LTE-25 b => a approval-False b,0.34624259672332897,0.28028439431211377
a income/yearlyReimbursement-GTE-75 b & a loanAmount-GTE-75 b => a approval-False b,0.6427390200753789,0.49802003959920804
a monthDuration-GTE-25 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.7524212249352067,0.3876522469550609
a loanAmount-LTE-25 b & a monthDuration-GTE-50 b => a approval-False b,0.46573340512268285,0.46178076438471233
a loanAmount-GTE-50 b & a loanAmount-LTE-25 b => a approval-False b,0.247923236674102,0.19004619907601847
a creditScore-GTE-50 b & a income/yearlyReimbursement-GTE-75 b => a approval-False b,0.4783478193985078,0.4865302693946121
a income/yearlyReimbursement-GTE-75 b & a rate-LTE-25 b => a approval-False b,0.7258480116914083,0.625907481850363
a creditScore-GTE-50 b => a approval-False b,0.49819244673486657,0.50239995200096
a rate-LTE-75 b => a approval-False b,0.25226905622644413,0.3648527029459411
a income/yearlyReimbursement-GTE-50 b & a loanAmount-GTE-75 b => a approval-False b,0.39525805707253286,0.3078238435231295
a income/yearlyReimbursement-LTE-25 b & a yearlyReimbursement-GTE-75 b => a approval-False b,0.5505345742635182,0.43085138297234055
a rate-LTE-25 b => a approval-True b,0.2659937252762243,0.6471170576588469
a creditScore-GTE-25 b & a rate-LTE-75 b => a approval-True b,0.5712044741508662,0.1748665026699466
a creditScore-GTE-50 b & a yearlyReimbursement-GTE-75 b => a approval-False b,0.3372048303976617,0.26504469910601786
a creditScore-GTE-75 b & a yearlyReimbursement-LTE-25 b => a approval-False b,0.6822552111376048,0.5845683086338274
a income-GTE-75 b & a loanAmount-LTE-25 b => a approval-False b,0.6923505884162757,0.5980680386392272
a creditScore-GTE-25 b & a income-GTE-50 b => a approval-True b,0.5529259309780384,0.23150536989260215
a creditScore-GTE-25 b & a rate-LTE-50 b => a approval-True b,0.3906015550402401,0.18287634247315054
a income/yearlyReimbursement-LTE-25 b & a monthDuration-GTE-75 b => a approval-False b,0.49251980616875624,0.38327233455330895
a loanAmount-GTE-75 b & a yearlyReimbursement-GTE-75 b => a approval-False b,0.5140373817398661,0.3972520549589008
a monthDuration-LTE-25 b & a yearlyReimbursement-GTE-75 b => a approval-False b,0.61226059533882,0.4756104877902442
a creditScore-LTE-25 b & a monthDuration-GTE-75 b => a approval-False b,0.5824359664641181,0.47768044639107216
a monthDuration-LTE-75 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.5205292593097803,0.2574548509029819
a rate-GTE-25 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.605169826763061,0.30407391852162957
a creditScore-LTE-25 b => a approval-True b,0.25173918974219067,0.6397372052558948
a income-LTE-75 b & a rate-GTE-25 b => a approval-True b,0.4271586413858955,0.13343733125337492
a creditScore-LTE-75 b => a approval-True b,0.7495566771245397,0.3543829123417532
a loanAmount-LTE-50 b & a rate-GTE-75 b => a approval-False b,0.4795592646719483,0.43109137817243653
a monthDuration-LTE-75 b & a rate-LTE-75 b => a approval-True b,0.4882007911608239,0.1489170216595668
a creditScore-LTE-75 b => a approval-False b,0.2496154141989078,0.3543829123417532
a income/yearlyReimbursement-LTE-25 b & a monthDuration-LTE-25 b => a approval-False b,0.5545919544650412,0.43118137637247256
a income-GTE-50 b => a approval-True b,0.7396671668258082,0.6021479570408592
a loanAmount-GTE-75 b & a monthDuration-GTE-75 b => a approval-False b,0.540746865625721,0.41873162536749264
a creditScore-LTE-25 b & a monthDuration-LTE-25 b => a approval-False b,0.5293631259133913,0.41648167036659267
a rate-GTE-25 b => a approval-False b,0.246192600569187,0.3528829423411532
a creditScore-LTE-25 b & a income-GTE-50 b => a approval-False b,0.4252365202676717,0.37013259734805304
a income/yearlyReimbursement-GTE-50 b & a monthDuration-GTE-50 b => a approval-False b,0.4234674255826475,0.47831043379132415
a creditScore-LTE-25 b & a income/yearlyReimbursement-GTE-50 b => a approval-False b,0.4769633105145758,0.4291714165716686
a creditScore-GTE-25 b & a monthDuration-LTE-75 b => a approval-True b,0.48213067794298187,0.1499370012599748
a loanAmount-LTE-25 b & a rate-GTE-25 b => a approval-True b,0.5488337198199427,0.2906941861162777
a loanAmount-LTE-50 b & a rate-LTE-25 b => a approval-False b,0.47809783862779787,0.4353812923741525
a rate-LTE-50 b => a approval-True b,0.5172554903833038,0.507439851202976
a income-GTE-25 b & a monthDuration-LTE-75 b => a approval-True b,0.6050334197244578,0.1869862602747945
a yearlyReimbursement-LTE-50 b => a approval-False b,0.6388931620644566,0.7219955600887982
a creditScore-GTE-75 b & a yearlyReimbursement-GTE-75 b => a approval-False b,0.5084993462041382,0.3980020399592008
a yearlyReimbursement-GTE-75 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.31970617644796556,0.251214975700486
a income-LTE-75 b & a rate-LTE-75 b => a approval-True b,0.4429136543445642,0.1377872442551149
a creditScore-GTE-25 b & a creditScore-LTE-50 b => a approval-True b,0.25071613695266676,0.05426891462170757
a rate-GTE-50 b & a rate-LTE-25 b => a approval-False b,0.25040381509114684,0.19424611507769846
a loanAmount-LTE-25 b & a rate-LTE-25 b => a approval-False b,0.6679293900469194,0.5639287214255715
a monthDuration-LTE-75 b => a approval-True b,0.6460919383440186,0.3107637847243055
a loanAmount-LTE-25 b => a approval-False b,0.8867779401584494,0.8546229075418491
a income-GTE-50 b & a yearlyReimbursement-LTE-25 b => a approval-True b,0.5692265720911199,0.498410031799364
a income/yearlyReimbursement-GTE-50 b & a yearlyReimbursement-LTE-50 b => a approval-False b,0.49298130913006694,0.6080278394432111
a loanAmount-GTE-75 b & a rate-LTE-25 b => a approval-False b,0.5131143758172448,0.3996220075598488
a loanAmount-LTE-75 b => a approval-True b,1.0,0.4717105657886842
a creditScore-LTE-25 b & a income-GTE-75 b => a approval-False b,0.5965694946542573,0.4881202375952481
a loanAmount-LTE-50 b & a monthDuration-GTE-50 b => a approval-False b,0.3159564648873164,0.39671206575868484
a creditScore-GTE-25 b => a approval-True b,0.7503069158368572,0.35927281454370913
a income-GTE-25 b & a income-LTE-75 b => a approval-True b,0.5158232164779702,0.11348773024539509
a creditScore-GTE-50 b & a rate-LTE-25 b => a approval-False b,0.37372125221136837,0.3239635207295854
a creditScore-GTE-75 b & a loanAmount-LTE-25 b => a approval-False b,0.663102838243212,0.5634187316253675
a monthDuration-LTE-25 b => a approval-False b,0.7055034228136298,0.5682186356272875
a creditScore-LTE-75 b & a income-LTE-75 b => a approval-True b,0.43363797571954715,0.13412731745365092
a rate-LTE-25 b & a yearlyReimbursement-LTE-25 b => a approval-False b,0.6899084685793401,0.5908081838363233
a creditScore-GTE-50 b & a creditScore-LTE-75 b => a approval-True b,0.25023871231755557,0.05387892242155157
a income-LTE-25 b & a income/yearlyReimbursement-GTE-75 b => a approval-False b,0.6594685024228906,0.5317093658126838
a creditScore-LTE-25 b & a income/yearlyReimbursement-LTE-25 b => a approval-False b,0.507960926082609,0.39527209455810886
a income/yearlyReimbursement-GTE-50 b & a rate-GTE-75 b => a approval-False b,0.4708676255672641,0.4204115917681646
